777	490	34	46	0.275649
773	490	38	46	0.266761
658	136	153	132	0.259745
1	1	899	834	0.25753
658	135	152	109	0.24209
676	136	135	109	0.240299
677	134	135	134	0.235508
662	134	200	133	0.23384
1	1	899	721	0.232324
1	364	899	471	0.227706
661	134	150	151	0.2254
507	365	393	470	0.224168
563	365	337	465	0.223283
565	365	335	329	0.22014
577	133	323	447	0.214156
660	146	155	121	0.21409
776	486	38	48	0.213895
579	365	321	217	0.213142
658	136	203	112	0.212134
1	134	899	701	0.211608
656	135	175	109	0.21097
776	466	124	69	0.210298
1	1	899	435	0.210154
586	136	314	303	0.209024
729	369	171	214	0.208911
1	1	638	807	0.208544
586	1	314	476	0.207853
535	365	365	386	0.205194
658	157	154	109	0.204701
578	134	322	543	0.204586
775	388	125	145	0.204266
638	132	175	141	0.203575
579	1	321	581	0.203451
658	136	206	149	0.203037
847	736	53	90	0.202573
658	146	205	120	0.202234
776	490	124	45	0.201726
196	365	704	465	0.201024
586	117	314	360	0.199993
741	390	159	191	0.198126
577	1	323	678	0.197602
734	370	166	233	0.197002
563	1	337	829	0.196891
777	370	123	130	0.196692
777	469	123	88	0.196372
539	365	361	217	0.196364
565	136	335	691	0.196252
97	1	803	829	0.196199
775	490	45	45	0.195612
523	133	377	447	0.193772
1	1	690	429	0.193625
1	376	621	432	0.193521
534	134	366	546	0.193509
795	369	105	49	0.193222
787	413	113	64	0.192775
193	1	707	829	0.192489
661	136	144	63	0.192366
661	136	143	75	0.19226
517	1	383	829	0.191283
770	489	41	56	0.191277
61	511	313	299	0.191219
1	364	899	388	0.191096
573	679	28	58	0.190554
534	1	366	580	0.190272
688	130	117	68	0.190238
523	1	377	480	0.189989
97	365	803	465	0.18908
775	359	125	178	0.188823
775	371	125	213	0.188777
517	134	383	697	0.188029
579	335	321	248	0.187793
196	362	704	389	0.187246
777	454	123	103	0.186656
584	1	227	341	0.185848
772	477	39	60	0.185442
571	669	33	66	0.185148
777	412	123	124	0.184126
539	134	361	301	0.184079
639	1	233	265	0.183907
647	1	253	265	0.183827
158	1	742	751	0.18371
599	134	213	133	0.183464
582	135	229	339	0.183311
796	375	104	44	0.18285
776	489	124	66	0.182746
778	370	122	109	0.181858
269	363	631	463	0.180704
639	9	149	157	0.180691
573	669	31	70	0.180663
1	375	619	376	0.180338
581	1	231	473	0.179747
572	677	28	62	0.17928
658	192	152	75	0.179262
686	130	97	37	0.179249
61	514	269	293	0.179245
641	9	161	160	0.179191
193	364	707	316	0.178036
551	365	349	170	0.177983
567	1	245	518	0.177819
639	1	163	201	0.177739
551	365	349	196	0.177731
592	1	219	246	0.177502
546	146	354	273	0.177002
579	193	321	343	0.176854
599	9	201	160	0.176608
193	1	707	476	0.176585
535	155	365	403	0.175947
1	1	70	33	0.175694
577	365	323	160	0.175556
656	136	146	103	0.175093
1	1	76	47	0.174988
777	490	123	97	0.174911
599	8	214	258	0.174778
773	490	38	67	0.17434
652	1	221	249	0.174144
658	154	203	105	0.174094
576	1	218	198	0.173674
582	135	229	300	0.173603
754	490	57	45	0.173487
775	413	125	143	0.17297
734	371	166	309	0.172786
60	525	272	305	0.172745
640	1	171	285	0.172384
573	670	32	64	0.172226
657	128	144	71	0.172209
270	365	630	386	0.172189
683	136	134	75	0.172128
563	193	337	491	0.172075
589	1	311	247	0.171856
787	414	113	100	0.171358
661	135	150	192	0.171203
591	1	99	227	0.171184
640	7	173	239	0.171169
647	9	225	276	0.171042
777	489	33	74	0.170944
725	371	175	272	0.170873
588	1	213	181	0.170859
736	371	164	164	0.170753
97	135	803	692	0.17039
563	1	248	244	0.170203
770	461	130	72	0.169998
599	1	283	265	0.169939
1	364	899	333	0.16989
690	146	117	62	0.169538
647	1	164	258	0.169445
578	127	235	407	0.169422
1	1	422	425	0.169065
579	232	321	350	0.168955
596	135	215	109	0.168901
678	193	132	56	0.168556
91	514	282	293	0.168535
653	153	211	134	0.168359
578	1	238	556	0.168255
736	370	164	129	0.16818
725	338	175	245	0.168025
653	1	88	41	0.168014
595	136	218	162	0.167893
778	356	122	122	0.167882
1	1	423	808	0.167769
583	1	89	227	0.167711
195	132	705	695	0.167655
564	375	247	305	0.167596
657	155	153	89	0.167408
559	133	251	546	0.167179
1	134	899	574	0.167167
579	133	233	445	0.166937
562	120	249	353	0.166805
1	376	372	433	0.166616
676	193	136	73	0.166447
579	190	321	314	0.166351
777	489	56	45	0.166345
766	469	134	129	0.166094
768	629	132	197	0.165897
269	1	631	829	0.165783
1	200	624	610	0.165674
1	200	208	227	0.165396
587	1	219	226	0.165167
578	1	233	675	0.165162
582	1	279	344	0.165138
587	134	276	132	0.165129
661	9	82	33	0.165039
193	1	620	438	0.164901
646	132	254	453	0.164778
650	1	130	168	0.164702
659	112	207	136	0.164642
270	365	630	324	0.164075
580	406	38	117	0.163784
639	8	261	191	0.163654
581	133	280	339	0.163396
653	1	247	207	0.163376
641	9	259	160	0.163311
688	131	117	60	0.163273
765	468	135	214	0.163108
775	464	125	203	0.162834
740	362	160	468	0.162763
676	193	135	51	0.162731
645	133	255	346	0.162654
